Name;Age;Nationality;Overall;Club;Value;Preferred Foot;Number;Position
J. Greene;18;United States;52;D.C. United;190K;Left;33;LB
Y. Amankwah;20;Ghana;57;Accrington Stanley;400K;Right;38;CB
K. Thatal;20;India;52;Jamshedpur FC;190K;Right;11;RM
Pacheco;29;Spain;80;Deportivo Alavés;17.5M;Left;1;GK
R. Pasveer;37;Netherlands;75;Ajax;625K;Right;32;GK
20 Casillas;38;Spain;79;FC Porto;1.3M;Left;1;GK
A. Lezama;18;Venezuela;56;AC Mineros de Guayana;425K;Right;33;CB
M. Devlin;27;Scotland;64;Aberdeen;675K;Right;6;CB
Kepa;26;Spain;79;Chelsea;19M;Right;1;GK
D. Collins;20;Republic of Ireland;47;Sligo Rovers;100K;Right;20;CAM
S. Tanabe;19;Japan;54;Kawasaki Frontale;240K;Right;30;CB
M. Dmitrović;29;Serbia;80;Sevilla FC;16M;Left;1;GK
A. Bordușanu;16;Romania;53;FC Dinamo 1948 Bucureşti;230K;Left;20;LM
M. Suver;21;Croatia;59;1. FC Nürnberg;475K;Right;33;CB
A. Senior;19;England;57;Bolton Wanderers;375K;Right;34;CB
15 R. Lee;31;England;61;Fulham;190K;Left;26;GK
D. von Ballmoos;26;Switzerland;76;BSC Young Boys;8M;Right;26;GK
David Raya;25;Spain;74;Brentford;4.6M;Right;1;GK
M. Pigliacelli;28;Italy;71;Universitatea Craiova;1.3M;Right;13;GK
J. Moon;20;England;58;Barnsley;450K;Right;15;CB
08 R. Livramento;32;France;62;FC Libourne-Saint-Seurin;0;Right;6;RM
21 N. Boogaard;33;Australia;62;Newcastle Jets;190K;Right;4;CB
21 Z. Al Oyouni;17;England;53;Lincoln City;220K;Right;34;RB
21 O. Kensdale;20;England;57;Colchester United;325K;Right;19;CB
21 S. Romero;33;Argentina;79;Manchester United;5.5M;Right;22;GK
Lee Tae Suk;18;Korea Republic;53;FC Seoul;230K;Left;88;LB
A. Mitchell;19;England;59;Leyton Orient;500K;Right;15;CB
P. Huntington;33;England;66;Preston North End;400K;Right;23;CB
21 D. Arboleda;25;Colombia;66;Deportivo Pasto;1.6M;Right;5;CB
J. Ngouabi;18;France;58;Stade Malherbe Caen;475K;Right;4;CB
A. Chetri;19;India;49;Chennaiyin FC;110K;Right;29;ST
21 T. Muharemovic;17;Slovenia;58;RZ Pellets Wolfsberger AC;475K;Left;13;CB
L. Costa;20;France;59;Toulouse Football Club;500K;Right;14;CB
S. Sosa;34;Uruguay;78;Club Atlético Independiente;2.4M;Right;1;GK
F. Armani;34;Argentina;80;River Plate;3.6M;Right;1;GK
J. Zoet;30;Netherlands;75;Spezia;3.7M;Right;1;GK
O. Vilhelmsson;17;Sweden;55;IFK Göteborg;300K;Left;29;ST
20 M. Vorm;35;Netherlands;74;Tottenham Hotspur;1.5M;Right;13;GK
L. Bell;18;England;51;Carlisle United;140K;Right;23;RM
J. McLaughlin;33;Scotland;69;Rangers FC;450K;Right;33;GK
N. Zohoré;20;France;58;FC Sochaux-Montbéliard;500K;Left;25;CB
J. Maher;21;United States;58;Nashville SC;425K;Right;5;CB
Cantero;26;Spain;72;SD Eibar;2.7M;Left;1;GK
N. Pacławski;17;Poland;53;Lech Poznań;240K;Right;19;ST
20 B. Nugent;25;England;61;Stevenage;275K;Left;31;CB
V. Covil;16;United States;51;Forest Green Rovers;150K;Right;26;ST
C. Evans;20;Wales;58;Waterford FC;450K;Right;3;CB
E. Toal;22;Northern Ireland;60;Derry City;575K;Right;6;CB
T. Heaton;35;England;76;Manchester United;825K;Right;22;GK
21 M. Tait;19;England;52;Aston Villa;210K;Right;45;ST
21 A. Şahindere;17;Turkey;55;Gençlerbirliği SK;375K;Right;55;CB
A. Xhemajli;23;Kosovo;62;Sunderland;825K;Left;19;CB
M. Günok;32;Turkey;75;Beşiktaş JK;2.8M;Right;34;GK
A. Rossi;25;Argentina;77;Boca Juniors;12.5M;Right;1;GK
J. Eng;16;Norway;53;Vålerenga Fotball;300K;Right;27;RW
A. Ementa;19;Denmark;53;Aalborg BK;220K;Right;19;ST
M. Dietz;19;United States;57;SC Freiburg II;375K;Right;21;CB
21 L. Ospina;29;Colombia;66;Millonarios FC;725K;Right;3;CB
21 D. Maietta;37;Italy;70;Empoli;275K;Right;3;CB
S. Handanovič;36;Slovenia;86;Inter;7.5M;Right;1;GK
M. Cleworth;18;England;54;Wrexham AFC;230K;Right;32;CB
M. Kokkinoftas;18;Cyprus;57;;0;Right;0;CB
Álex Remiro;26;Spain;81;Real Sociedad;26M;Right;1;GK
S. Nishikawa;35;Japan;69;Urawa Red Diamonds;150K;Left;1;GK
J. Dickman;20;Sweden;52;FC Nordsjælland;190K;Right;34;RW
S. Bareiro;22;Paraguay;54;Club Necaxa;240K;Right;19;ST
S. Mignolet;33;Belgium;80;Club Brugge KV;7M;Right;22;GK
G. Güvenç;29;Turkey;71;Gazişehir Gaziantep F.K.;1.4M;Right;1;GK
19 D. Delaney;36;Republic of Ireland;62;Waterford FC;40K;Left;17;CB
Miguel Rubio;23;Spain;65;Burgos CF;1.5M;Right;12;CB
J. Conway;19;United States;52;Atlanta United;170K;Right;36;ST
C. Vargas;32;Colombia;77;Club Atlas;5M;Left;12;GK
21 H. Crosthwaite;17;Germany;54;SV Darmstadt 98;275K;Right;29;ST
L. Francillette;22;France;57;Crawley Town;350K;Right;15;CB
21 S. Proto;37;Belgium;74;Lazio;475K;Right;24;GK
J. Makengo;19;France;56;SC Freiburg II;325K;Right;34;CB
K. Gordon;19;England;54;Sheffield United;275K;Right;34;CB
Unai Simón;24;Spain;82;Athletic Club de Bilbao;34.5M;Right;1;GK
15 F. Boni;19;Italy;57;Hellas Verona;90K;Right;41;CB
A. Hansen;19;Norway;52;Mjøndalen IF;180K;Right;28;CB
F. Arthur;21;Germany;59;Barrow;525K;Right;25;CB
L. McFayden;21;England;52;Swansea City;170K;Left;35;LB
Y. Mvogo;27;Switzerland;76;PSV;7.5M;Right;38;GK
Yang Boyu;32;China PR;59;Wuhan FC;150K;Right;27;CB
W. Benítez;28;Argentina;80;OGC Nice;18M;Right;40;GK
E. Andrada;30;Argentina;80;CF Monterrey ;16M;Right;1;GK
R. Cota;33;Mexico;76;Club León;2.4M;Right;12;GK
10 Tristán;33;Spain;66;Cádiz CF;0;Right;9;ST
R. O'Kane;17;Republic of Ireland;51;Dundalk FC;180K;Right;28;RW
Iván Cuéllar;37;Spain;75;Real Sporting de Gijón;625K;Left;1;GK
T. Butoiu;19;Romania;52;Campionii FC Arges;170K;Right;18;RM
A. Smith;19;England;54;Salford City;240K;Right;24;CB
M. Svilar;21;Serbia;68;SL Benfica;2.6M;Right;1;GK
Cláudio Ramos;29;Portugal;74;FC Porto;3.5M;Right;14;GK
F. Irorere;19;Germany;58;Karlsruher SC;450K;Right;20;CB
G. Castellón;27;Chile;68;CD Huachipato;1.1M;Right;25;GK
21 M. Fraga;32;Mexico;70;Mazatlán Futbol Club;800K;Right;3;GK
H. Van Crombrugge;28;Belgium;76;RSC Anderlecht;6.5M;Left;30;GK
S. Mandanda;36;France;81;Olympique de Marseille;2.9M;Right;30;GK
N. Pope;29;England;83;Burnley;25M;Right;1;GK
Sivera;24;Spain;72;Deportivo Alavés;3M;Right;13;GK
J. Coburn;18;England;52;Middlesbrough;200K;Right;37;ST
21 D. Bowry;22;Antigua and Barbuda;53;Cheltenham Town;200K;Right;6;CB
L. Breunig;17;Germany;54;FC Würzburger Kickers;250K;Right;14;CB
B. Pursall;17;England;53;Plymouth Argyle;220K;Left;37;CB
K. Kudo;17;Japan;55;Urawa Red Diamonds;300K;Right;42;CB
M. Campaña;32;Uruguay;74;Al Batin;2.1M;Right;25;GK
A. Burley;21;Saint Kitts and Nevis;56;Wycombe Wanderers;300K;Right;34;CB
David Soria;28;Spain;81;Getafe CF;20.5M;Right;13;GK
P. Pentz;24;Austria;72;FK Austria Wien;4.5M;Left;1;GK
O. Tomlinson;19;England;55;Plymouth Argyle;275K;Right;41;CB
18 J. Vergara;23;Colombia;70;AC Milan;2.3M;Right;34;CB
W. Hahn;29;Suriname;69;Go Ahead Eagles;1.2M;Right;1;GK
Roberto;35;Spain;74;Real Valladolid CF;475K;Right;13;GK
11 E. van der Sar;39;Netherlands;83;Manchester United;0;Right;1;GK
A. Majok;20;South Sudan;50;Western United FC;120K;Right;24;CAM
21 P. Flottmann;23;Australia;56;Sydney FC;275K;Right;2;CB
K. Johnsson;31;Sweden;73;F.C. København;1.6M;Right;21;GK
J. Dunne;19;England;52;Rochdale;190K;Left;25;CB
S. McClelland;19;Northern Ireland;55;Chelsea;300K;Right;45;CB
M. Schuhen;28;Germany;71;SV Darmstadt 98;1.7M;Right;1;GK
J. Gorter;21;Netherlands;69;Ajax;2.7M;Right;16;GK
21 M. Olagunju;18;England;55;Port Vale;300K;Right;33;CB
G. Buffon;43;Italy;80;Parma;2.3M;Right;1;GK
T. Freeman;18;United States;51;Karlsruher SC;160K;Right;41;ST
09 Fábio Paim;20;Portugal;70;Chelsea;0;Right;47;CF
E. Cashin;19;Republic of Ireland;56;Derby County;325K;Left;41;CB
M. Perin;28;Italy;80;Juventus;18M;Right;36;GK
20 J. van Benthem;20;Netherlands;60;Heracles Almelo;300K;Right;20;CB
N. Botic;19;Australia;54;Western United FC;300K;Right;38;ST
T. Loridan;18;France;55;USL Dunkerque;300K;Right;37;CB
21 J. Cuadrado;35;Colombia;68;Atlético Nacional;130K;Right;30;GK
K. Darlow;30;England;76;Newcastle United;5.5M;Right;26;GK
P. Carlgren;29;Sweden;71;Randers FC;1.3M;Right;1;GK
L. Škaričić;19;Croatia;61;Hajduk Split;800K;Right;25;CB
I. Arslan;20;Turkey;55;Galatasaray SK;250K;Right;24;CB
21 Unai Dufur;21;Spain;57;SD Eibar;350K;Right;29;CB
21 S. Ruffier;33;France;79;AS Saint-Étienne;5.5M;Right;16;GK
J. Akanyirige;19;United States;54;San Jose Earthquakes;275K;Right;29;CB
21 C. Montgomery;23;Canada;55;Minnesota United FC;240K;Right;47;CB
21 J. Dunn;19;Canada;57;Toronto FC;375K;Right;5;CB
E. Kwelele;19;Republic of Ireland;48;Dundalk FC;110K;Left;43;ST
P. Gollini;26;Italy;82;Tottenham Hotspur;35M;Right;22;GK
21 Serantes;30;Spain;71;CD Tenerife;1.2M;Right;1;GK
E. Room;32;Curacao;74;Columbus Crew;2.1M;Right;1;GK
C. Ezekwem;22;Germany;61;Sportclub Verl;475K;Right;3;CB
B. Mruk;19;Poland;57;Pogoń Szczecin;375K;Left;6;CB
A. Husic;20;Switzerland;55;FC Lausanne-Sport;275K;Left;51;CB
Munir;32;Morocco;73;Atakaş Hatayspor;1.5M;Right;1;GK
Héniton Pires;25;Brazil;80;Flamengo;17M;Right;12;GK
M. Sportiello;29;Italy;76;Atalanta;5M;Right;57;GK
O. Denham;19;Wales;55;Cardiff City;275K;Right;42;CB
18 Júlio César;37;Brazil;80;SL Benfica;1M;Left;12;GK
Liu Dianzuo;31;China PR;68;Guangzhou FC;650K;Right;12;GK
S. Viera;38;Uruguay;74;Junior FC;475K;Right;1;GK
C. McLaughlin;19;Republic of Ireland;51;Derry City;130K;Left;32;CAM
L. Fabiański;36;Poland;82;West Ham United;3.4M;Right;1;GK
S. Obissa;20;Gabon;56;AC Ajaccio;325K;Right;24;CB
O. Baumann;31;Germany;82;TSG Hoffenheim;16M;Right;1;GK
G. Larsonneur;24;France;75;Stade Brestois 29;6M;Right;1;GK
21 N. Jeck;18;Germany;57;FC Erzgebirge Aue;400K;Right;22;CB
B. Foster;38;England;78;Watford;1.6M;Left;1;GK
S. Ogie;19;Republic of Ireland;55;Leyton Orient;275K;Left;25;CB
19 Isaac Becerra;30;Spain;68;Gimnàstic de Tarragona;575K;Right;1;GK
C. Schoissengeyr;26;Austria;65;FK Austria Wien;775K;Right;24;CB
J. Huth;27;Germany;70;SC Paderborn 07;1.4M;Right;21;GK
Lucas Mantela;21;Brazil;77;Palmeiras;9.5M;Right;21;GK
S. Ilic;18;Germany;57;SC Freiburg II;350K;Right;37;CB
J. Alnwick;28;England;68;St. Mirren;950K;Left;1;GK
K. Berkoe;19;England;53;Salford City;210K;Left;23;LB
O. Vlachodimos;27;Greece;81;SL Benfica;23.5M;Right;1;GK
A. Hansen;31;Norway;74;Rosenborg BK;2.2M;Right;1;GK
Dani Jiménez;31;Spain;70;AD Alcorcón;850K;Right;1;GK
A. Ramsdale;23;England;75;Arsenal;9.5M;Right;32;GK
R. Austin;18;Wales;54;Wrexham AFC;230K;Right;25;CB
P. Ferry;18;Northern Ireland;49;Derry City;100K;Right;31;RM
G. Ray;27;Wales;59;Exeter City;230K;Right;5;CB
15 A. Waszkiewicz;20;Poland;52;Jagiellonia Białystok;40K;Right;25;CB
V. Mannone;33;Italy;70;AS Monaco;525K;Right;30;GK
J. Siebenhandl;31;Austria;72;SK Sturm Graz;1.2M;Left;27;GK
20 J. Herrera;38;Chile;70;CD Everton de Viña del Mar;180K;Right;25;GK
W. Forrester;20;England;56;Mansfield Town;325K;Right;23;CB
I. Bakare;19;England;53;Cardiff City;210K;Right;44;CB
19 O. Pérez;45;Mexico;71;Pachuca;160K;Right;21;GK
H. Baker;18;England;50;Scunthorpe United;110K;Right;29;CB
R. Gallagher;20;Republic of Ireland;47;Finn Harps;110K;Right;29;CAM
G. Ochoa;35;Mexico;80;Club América;2.3M;Right;13;GK
D. Subašić;36;Croatia;76;Hajduk Split;825K;Right;1;GK
N. Datković;28;Croatia;65;FC Flyeralarm Admira;675K;Right;93;CB
M. Bruns;17;Germany;57;1. FC Union Berlin;375K;Right;37;CB
Oier;31;Spain;74;RCD Espanyol de Barcelona;2.2M;Left;1;GK
B. Ganesan;19;India;48;Chennaiyin FC;110K;Right;43;RB
M. Hinnenkamp;19;Germany;53;SV Meppen;210K;Right;28;CB
B. Blythe;19;England;55;Doncaster Rovers;275K;Left;30;CB
David Alba;22;Spain;64;CD Leganés;1.4M;Right;29;CB
N. Canavan;30;Republic of Ireland;63;Bradford City;400K;Left;5;CB
21 Rubén;36;Spain;74;CA Osasuna;475K;Right;13;GK
I. Arboleda;25;Colombia;73;Rayo Vallecano;3.8M;Right;25;GK
M. Bizot;30;Netherlands;76;Stade Brestois 29;5.5M;Right;40;GK
José Oliveira;19;Portugal;60;FC Paços de Ferreira;575K;Right;25;GK
C. Riedel;17;Germany;55;SV Darmstadt 98;300K;Right;38;CB
G. Alcalá;28;Mexico;74;Club Tijuana;3.6M;Right;13;GK
F. Gomes;20;India;49;FC Goa;110K;Right;55;RM
Y. Bounou;30;Morocco;82;Sevilla FC;20.5M;Left;13;GK
M. Cahill;20;Australia;52;Central Coast Mariners;130K;Right;17;ST
I. Fray;18;United States;53;Inter Miami CF;240K;Right;24;CB
M. Crépeau;27;Canada;73;Vancouver Whitecaps FC;3M;Right;16;GK
S. Scuffet;25;Italy;72;APOEL Nicosia FC;2.4M;Right;22;GK
D. Henderson;24;England;80;Manchester United;36M;Right;26;GK
J. Lewis;33;England;69;Aberdeen;450K;Right;1;GK
V. Hladký;30;Czech Republic;66;Ipswich Town;575K;Right;31;GK
Edgar Badia;29;Spain;79;Elche CF;13.5M;Right;13;GK
L. García;23;Colombia;69;SD Ponferradina;2.7M;Right;13;GK
B. Peacock-Farrell;24;Northern Ireland;72;Sheffield Wednesday;4M;Left;1;GK
Jo Jin Woo;21;Korea Republic;58;Daegu FC;475K;Right;66;CB
Z. Bello;17;Australia;50;Melbourne Victory;120K;Right;27;RB
L. Cárdenas;27;Mexico;70;CF Monterrey ;1.6M;Right;22;GK
R. Bürki;30;Switzerland;80;Borussia Dortmund;14M;Right;38;GK
Kwon Seong Yoon;20;Korea Republic;48;FC Seoul;110K;Right;14;RM
18 J. Barrigan;19;England;53;Wigan Athletic;130K;Left;30;ST
M. Stickland;17;England;54;Reading;230K;Right;38;CB
C. Panter;20;England;54;Dundee FC;240K;Right;20;CB
A. McCarthy;31;England;75;Southampton;3M;Right;1;GK
07 Silva;30;Brazil;71;Suwon Samsung Bluewings;0;Right;10;ST
Wang Zhen'ao;21;China PR;47;Dalian Professional Football Club;110K;Right;34;ST
C. Taylor;18;England;56;West Bromwich Albion;300K;Right;33;CB
J. Rinne;28;Sweden;73;Aalborg BK;2.8M;Left;1;GK
T. Krul;33;Netherlands;77;Norwich City;3.4M;Left;1;GK
21 A. Lindegaard;36;Denmark;67;Helsingborgs IF;110K;Right;1;GK
L. Daniels;33;England;68;Middlesbrough;400K;Right;28;GK
Adrián;34;Spain;74;Liverpool;725K;Right;13;GK
L. García;28;Mexico;70;Deportivo Toluca;1.4M;Right;1;GK
I. Akinfeev;35;Russia;80;PFC CSKA Moscow;2.3M;Right;35;GK
S. Sirigu;34;Italy;82;Genoa;5M;Right;57;GK
S. Johnstone;28;England;77;West Bromwich Albion;9.5M;Right;1;GK
Yan Junling;30;China PR;73;Shanghai Port FC;2M;Right;1;GK
L. Karius;28;Germany;75;Liverpool;4.5M;Right;22;GK
A. Gomis;27;Senegal;76;Stade Rennais FC;7M;Right;16;GK
Matheus;28;Brazil;79;SC Braga;15M;Right;1;GK
21 K. Westwood;35;Republic of Ireland;70;Sheffield Wednesday;180K;Left;1;GK
21 A. Domínguez;33;Ecuador;72;Vélez Sarsfield;750K;Right;22;GK
D. Barnes;25;Jamaica;61;Queens Park Rangers;400K;Left;33;GK
C. Finch;19;Chile;56;Universidad Católica;350K;Right;3;CB
21 M. El Shenawy;31;Egypt;73;;0;Right;1;GK
21 Denis;33;Brazil;72;Gil Vicente FC;750K;Right;1;GK
K. Trapp;30;Germany;82;Eintracht Frankfurt;20.5M;Right;1;GK
B. Sass-Davies;21;Wales;53;Crewe Alexandra;220K;Right;22;CB
D. Bouzanis;30;Australia;62;Sutton United;275K;Right;1;GK
Joel Sousa;21;Portugal;60;CD Tondela;475K;Right;1;GK
20 Gomes;38;Brazil;75;Watford;675K;Right;1;GK
S. Bolat;32;Turkey;73;KAA Gent;1.5M;Right;1;GK
L. Acosta;26;Argentina;67;Club Atlético Lanús;1.2M;Right;15;GK
A. Gunn;25;England;72;Norwich City;2.6M;Right;28;GK
21 B. Cortés;25;Chile;69;;0;Right;12;GK
S. Frei;35;United States;74;Seattle Sounders FC;475K;Right;24;GK
C. Tătărușanu;35;Romania;77;AC Milan;1.2M;Right;1;GK
T. Melia;35;United States;73;Sporting Kansas City;350K;Right;29;GK
A. Lunev;29;Russia;78;Bayer 04 Leverkusen;11M;Right;40;GK
L. Grant;38;England;65;Manchester United;80K;Right;13;GK
J. Carragher;18;England;53;Wigan Athletic;220K;Right;31;CB
M. Silvestri;30;Italy;79;Udinese Calcio;11.5M;Right;1;GK
K. Sow;18;Switzerland;54;FC Lausanne-Sport;325K;Right;71;CB
S. Rossbach;25;Norway;70;Odds BK;2M;Right;1;GK
J. Madelin;19;Wales;52;AFC Wimbledon;190K;Right;15;CB
S. Johnson;32;United States;73;New York City FC;1.5M;Right;1;GK
20 A. Al Habsi;37;Oman;68;West Bromwich Albion;90K;Right;25;GK
J. Prior;25;France;72;FC Cartagena;2.4M;Left;13;GK
P. Gallese;31;Peru;74;Orlando City Soccer Club;2.2M;Right;1;GK
J. van der Meer;19;Haiti;57;SC Cambuur;375K;Right;33;CB
19 D. Dumont;18;France;53;GFC Ajaccio;90K;Right;15;CB
J. Rodríguez;28;Mexico;70;Club Deportivo Guadalajara;1.4M;Right;4;GK
Manolo Reina;36;Spain;73;RCD Mallorca;350K;Right;1;GK
P. Jensen;23;Denmark;70;AZ Alkmaar;1.9M;Right;1;GK
T. Kristensen;19;Denmark;55;Aarhus GF;275K;Right;23;CB
F. Ondoa;24;Cameroon;67;Deportivo Alavés;1.2M;Right;30;GK
A. Bass;23;England;65;Portsmouth;1.4M;Right;35;GK
19 Javi Varas;35;Spain;70;SD Huesca;425K;Right;1;GK
J. Woodiwiss;18;Wales;52;Newport County;170K;Right;41;CB
N. Slonina;20;United States;56;Chicago Fire Football Club;350K;Right;25;CB
21 S. Woods;21;England;59;Plymouth Argyle;475K;Right;25;CB
21 D. Bouah;18;Italy;49;Roma;110K;Right;51;RB
A. Lafont;22;France;78;FC Nantes;17.5M;Right;1;GK
J. Cooper;19;Republic of Ireland;53;Rotherham United;230K;Right;33;CB
W. Yarbrough;32;United States;68;Colorado Rapids;600K;Right;22;GK
17 Victor Valdés;34;Spain;82;Middlesbrough;13M;Right;26;GK
J. Bijlow;23;Netherlands;78;Feyenoord;27M;Right;1;GK
M. Sels;29;Belgium;77;RC Strasbourg Alsace;8.5M;Right;1;GK
Herrerín;33;Spain;75;Al Raed;1.8M;Right;99;GK
Robert Sanchéz;23;Spain;76;Brighton & Hove Albion;9.5M;Right;1;GK
S. Dioudis;28;Greece;75;Panathinaikos FC;4.8M;Right;1;GK
W. Foderingham;30;England;70;Sheffield United;1.1M;Left;18;GK
P. Pentke;36;Germany;73;TSG Hoffenheim;350K;Right;12;GK
07 P. Sarr;28;Senegal;65;Stade Brestois 29;0;Right;27;CDM
21 Gu Chao;30;China PR;67;Jiangsu FC;675K;Right;1;GK
J. Hart;34;England;74;Celtic;725K;Right;15;GK
M. Hitz;33;Switzerland;78;Borussia Dortmund;4.6M;Right;35;GK
A. Oukidja;32;Algeria;78;FC Metz;7M;Right;16;GK
A. Al Mayoof;34;Saudi Arabia;68;Al Hilal;210K;Right;1;GK
I. Pettersson;24;Sweden;70;Toulouse Football Club;2.7M;Left;40;GK
20 M. Casey;19;England;55;Portsmouth;160K;Right;31;CB
A. Emakhu;17;Republic of Ireland;49;Shamrock Rovers;150K;Right;38;ST
A. Hansen;25;Denmark;65;Aalborg BK;725K;Right;22;GK
José Sá;28;Portugal;79;Wolverhampton Wanderers;15M;Right;1;GK
B. Drągowski;23;Poland;77;Fiorentina;12M;Right;69;GK
A. Aguilar;32;Paraguay;72;Club Olimpia;1.2M;Right;12;GK
20 L. Steele;34;England;67;Millwall;325K;Right;14;GK
Bracali;40;Brazil;71;Boavista FC;210K;Right;1;GK
B. Margetson;20;Wales;53;Swansea City;190K;Right;45;CB
T. Kaminski;28;Belgium;73;Blackburn Rovers;2.6M;Right;1;GK
S. Kritsyuk;29;Russia;78;Gil Vicente FC;9.5M;Right;1;GK
21 C. Bargary;19;Republic of Ireland;51;Cork City;150K;Right;31;RM
A. Cragno;27;Italy;81;Cagliari;23.5M;Right;28;GK
21 A. Kovácsik;29;Hungary;69;;0;Right;22;GK
Simão Donatinho;25;Brazil;75;Sport Club Corinthians Paulista;4.6M;Left;12;GK
K. Nordfeldt;32;Sweden;74;AIK;2.1M;Right;15;GK
S. Shotton;20;England;53;West Bromwich Albion;210K;Right;31;CB
21 A. Hajdari;17;Switzerland;54;FC Basel 1893;325K;Left;76;CB
Riesgo;37;Spain;71;CD Leganés;210K;Right;13;GK
N. Etheridge;31;Philippines;72;Birmingham City;1.2M;Right;1;GK
D. Bentley;27;England;73;Bristol City;2.8M;Right;1;GK
17 S. Given;40;Republic of Ireland;73;Stoke City;500K;Right;24;GK
C. MacGillivray;28;Scotland;68;Charlton Athletic;1M;Right;1;GK
J. Musso;27;Argentina;81;Atalanta;23.5M;Right;1;GK
A. Smithies;31;England;71;Cardiff City;1M;Right;25;GK
M. Rosenfelder;18;Germany;57;SC Freiburg II;350K;Right;16;CB
P. Kieszek;37;Poland;73;Wisła Kraków;350K;Right;1;GK
J. Abankwah;17;Republic of Ireland;51;St. Patrick's Athletic;170K;Right;39;CB
20 T. Howard;40;United States;71;Colorado Rapids;240K;Right;1;GK
21 G. Gazzaniga;26;Argentina;65;SD Ponferradina;775K;Right;1;GK
Fernando;31;Spain;73;Unión Deportiva Almería;1.6M;Right;13;GK
15 S. Studer;22;Switzerland;57;Mansfield Town;100K;Right;1;GK
A. Begović;34;Bosnia and Herzegovina;75;Everton;950K;Right;15;GK
D. Bertaud;23;France;72;Montpellier Hérault SC;2.8M;Right;16;GK
21 A. Mirante;36;Italy;78;Roma;1.6M;Right;83;GK
R. Nyakossi;17;Switzerland;53;Servette FC;240K;Right;34;CB
Rubén Blanco;25;Spain;75;RC Celta de Vigo;6M;Right;13;GK
H. González;30;Mexico;72;Fútbol Club Juárez;1.6M;Right;1;GK
A. Aguerre;30;Argentina;74;Newell's Old Boys;2.8M;Right;1;GK
J. Attinella;32;United States;67;Portland Timbers;500K;Right;1;GK
Aarón;25;Spain;70;Granada CF;1.9M;Right;13;GK
21 W. Caballero;38;Argentina;74;Chelsea;475K;Right;13;GK
J. Blaswich;30;Germany;72;Heracles Almelo;1.8M;Right;1;GK
J. Butez;26;France;72;Royal Antwerp FC;2.5M;Right;1;GK
A. Pyatov;37;Ukraine;75;Shakhtar Donetsk;625K;Right;30;GK
A. Paulsen;18;New Zealand;58;Wellington Phoenix;450K;Right;40;GK
Guilherme;35;Russia;77;FC Lokomotiv Moscow;1.2M;Right;1;GK
21 Y. Cardinale;26;France;68;OGC Nice;1.1M;Right;30;GK
D. Elerewe;17;England;53;Charlton Athletic;220K;Right;50;CB
Sergio Rico;27;Spain;77;Paris Saint-Germain;9.5M;Right;16;GK
20 M. Barbosa;34;Argentina;75;Villarreal CF;2.9M;Right;25;GK
21 R. Williams;28;South Africa;68;;0;Right;22;GK
R. Rey;30;Argentina;73;Gimnasia y Esgrima La Plata;2.3M;Right;17;GK
D. Roef;27;Belgium;71;KAA Gent;1.7M;Right;33;GK
O. Nyland;30;Norway;71;AFC Bournemouth;1.2M;Right;1;GK
M. Gersbeck;26;Germany;72;Karlsruher SC;2.2M;Left;35;GK
20 C. Kameni;35;Cameroon;73;;0;Right;23;GK
T. Strakosha;26;Albania;80;Lazio;21M;Right;1;GK
21 M. Ahmadi;20;Sweden;52;Falkenbergs FF;160K;Right;5;CB
F. Marchetti;38;Italy;69;Genoa;150K;Left;22;GK
21 Beto;38;Portugal;73;SC Farense;350K;Right;22;GK
19 V. Demirel;36;Turkey;74;Fenerbahçe SK;750K;Right;1;GK
20 A. Kwarasey;31;Ghana;66;Vålerenga Fotball;425K;Right;21;GK
A. Meret;24;Italy;79;Napoli;30M;Left;1;GK
T. Carson;33;Northern Ireland;67;Dundee United;325K;Right;16;GK
Rui Silva;27;Portugal;81;Real Betis Balompié;25.5M;Right;13;GK
A. Shunin;34;Russia;76;;0;Left;1;GK
T. Horn;28;Germany;76;1. FC Köln;6.5M;Left;1;GK
S. Lung;32;Romania;73;Yukatel Kayserispor;1.5M;Right;33;GK
19 M. Leahy;29;Republic of Ireland;58;St. Patrick's Athletic;110K;Right;23;CB
E. Bologna;39;Argentina;72;River Plate;250K;Right;25;GK
J. Gubbins;19;England;53;Queens Park Rangers;210K;Right;39;CB
R. Zentner;26;Germany;74;1. FSV Mainz 05;4.2M;Right;27;GK
F. Öztürk;34;Turkey;68;Galatasaray SK;210K;Right;99;GK
D. Boyko;33;Ukraine;73;Dynamo Kyiv;1M;Right;71;GK
21 Rubén Miño;31;Spain;67;UD Logroñés;550K;Right;1;GK
L. Rudden;19;Republic of Ireland;47;Finn Harps;110K;Right;12;ST
Bruno Varela;26;Portugal;72;Vitória de Guimarães;2.2M;Right;14;GK
Yoel;32;Spain;73;SD Eibar;1.5M;Right;13;GK
A. Saldívar;31;Mexico;68;Deportivo Toluca;650K;Right;13;GK
21 M. Goicoechea;32;Uruguay;69;Toulouse Football Club;700K;Right;1;GK
A. Selikhov;27;Russia;72;Spartak Moskva;2.1M;Right;57;GK
21 J. Serendero;32;Uruguay;80;;0;Right;1;GK
M. Männel;33;Germany;73;FC Erzgebirge Aue;1M;Right;1;GK
21 Sergio;33;Spain;73;RC Celta de Vigo;1M;Right;25;GK
S. Kapino;27;Greece;73;DSC Arminia Bielefeld;3M;Right;13;GK
C. Trueman;25;England;65;Birmingham City;825K;Right;27;GK
